time,robot_x,robot_y,robot_theta,intrusion_detected,num_intruders,num_alerts,closest_dist
18.350,7.020,1.500,0.000,False,0,0,
18.400,7.035,1.500,0.000,False,0,0,
18.450,7.050,1.500,0.000,False,0,0,
18.500,7.065,1.500,0.000,False,0,0,
18.550,7.080,1.500,0.000,False,0,0,
18.600,7.095,1.500,0.000,False,0,0,
18.650,7.110,1.500,0.000,False,0,0,
18.700,7.125,1.500,0.000,False,0,0,
18.750,7.140,1.500,0.000,False,0,0,
18.800,7.155,1.500,0.000,False,0,0,
18.850,7.170,1.500,0.000,False,0,0,
18.900,7.185,1.500,0.000,False,0,0,
18.950,7.200,1.500,0.000,False,0,0,
19.000,7.215,1.500,0.000,False,0,0,
19.050,7.230,1.500,0.000,False,0,0,
19.100,7.245,1.500,0.000,False,0,0,
19.150,7.260,1.500,0.000,False,0,0,
19.200,7.275,1.500,0.000,False,0,0,
19.250,7.290,1.500,0.000,False,0,0,
19.300,7.305,1.500,0.000,False,0,0,
19.350,7.320,1.500,0.000,False,0,0,
19.400,7.335,1.500,0.000,False,0,0,
19.450,7.350,1.500,0.000,False,0,0,
19.500,7.365,1.500,0.000,False,0,0,
19.550,7.380,1.500,0.000,False,0,0,
19.600,7.395,1.500,0.000,False,0,0,
19.650,7.410,1.500,0.000,False,0,0,
19.700,7.425,1.500,0.000,False,0,0,
19.750,7.440,1.500,0.000,False,0,0,
19.800,7.455,1.500,0.000,False,0,0,
19.850,7.470,1.500,0.000,False,0,0,
19.900,7.485,1.500,0.000,False,0,0,
19.950,7.500,1.500,0.000,False,0,0,
20.000,7.515,1.500,0.000,False,0,0,
20.050,7.530,1.500,0.000,False,0,0,
20.100,7.545,1.500,0.000,False,0,0,
20.150,7.560,1.500,0.000,False,0,0,
20.200,7.575,1.500,0.000,False,0,0,
20.250,7.590,1.500,0.000,False,0,0,
20.300,7.605,1.500,0.000,False,0,0,
20.350,7.620,1.500,0.000,False,0,0,
20.400,7.635,1.500,0.000,False,0,0,
20.450,7.650,1.500,0.000,False,0,0,
20.500,7.665,1.500,0.000,False,0,0,
20.550,7.680,1.500,0.000,False,0,0,
20.600,7.695,1.500,0.000,False,0,0,
20.650,7.710,1.500,0.000,False,0,0,
20.700,7.725,1.500,0.000,False,0,0,
20.750,7.740,1.500,0.000,False,0,0,
20.800,7.755,1.500,0.000,False,0,0,
20.850,7.770,1.500,0.000,False,0,0,
20.900,7.785,1.500,0.000,False,0,0,
20.950,7.800,1.500,0.000,False,0,0,
21.000,7.815,1.500,0.000,False,0,0,
21.050,7.830,1.500,0.000,False,0,0,
21.100,7.845,1.500,0.000,False,0,0,
21.150,7.860,1.500,0.000,False,0,0,
21.200,7.875,1.500,0.000,False,0,0,
21.250,7.890,1.500,0.000,False,0,0,
21.300,7.905,1.500,0.000,False,0,0,
21.350,7.920,1.500,0.000,False,0,0,
21.400,7.935,1.500,0.000,False,0,0,
21.450,7.950,1.500,0.000,True,1,1,2.890
21.500,7.965,1.500,0.000,True,1,0,2.898
21.550,7.980,1.500,0.000,True,1,0,2.905
21.600,7.995,1.500,0.000,True,1,0,2.913
21.650,8.010,1.500,0.000,True,1,0,2.921
21.700,8.025,1.500,0.000,True,1,0,2.928
21.750,8.040,1.500,0.000,True,1,0,2.936
21.800,8.055,1.500,0.000,True,1,0,2.944
21.850,8.070,1.500,0.000,True,1,0,2.952
21.900,8.085,1.500,0.000,True,1,0,2.960
21.950,8.100,1.500,0.000,True,1,0,2.968
22.000,8.115,1.500,0.000,True,1,0,2.976
22.050,8.130,1.500,0.000,True,1,0,2.984
22.100,8.145,1.500,0.000,True,1,0,2.993
22.150,8.160,1.500,0.000,True,1,0,3.001
22.200,8.175,1.500,0.000,True,1,0,3.009
22.250,8.190,1.500,0.000,True,1,0,3.018
22.300,8.205,1.500,0.000,True,1,0,3.026
22.350,8.220,1.500,0.000,True,1,0,3.035
22.400,8.235,1.500,0.000,True,1,0,3.043
22.450,8.250,1.500,0.000,True,1,0,3.052
22.500,8.265,1.500,0.000,True,1,0,3.060
22.550,8.280,1.500,0.000,True,1,0,3.069
22.600,8.295,1.500,0.000,True,1,0,3.078
22.650,8.310,1.500,0.000,True,1,0,3.086
22.700,8.325,1.500,0.000,True,1,0,3.095
22.750,8.340,1.500,0.000,True,1,0,3.104
22.800,8.355,1.500,0.000,True,1,0,3.113
22.850,8.370,1.500,0.000,True,1,0,3.122
22.900,8.385,1.500,0.000,True,1,0,3.131
22.950,8.400,1.500,0.000,True,1,1,3.140
23.000,8.415,1.500,0.000,True,1,0,3.149
23.050,8.430,1.500,0.000,True,1,0,3.158
23.100,8.445,1.500,0.000,True,1,0,3.167
23.150,8.460,1.500,0.000,True,1,0,3.177
23.200,8.475,1.500,0.000,True,1,0,3.186
23.250,8.490,1.500,0.000,True,1,0,3.195
23.300,8.505,1.500,0.000,True,1,0,3.205
23.350,8.520,1.500,0.000,True,1,0,3.214
23.400,8.535,1.500,0.000,True,1,0,3.224
23.450,8.550,1.500,0.000,True,1,0,3.233
23.500,8.565,1.500,0.000,True,1,0,3.243
23.550,8.580,1.500,0.000,True,1,0,3.252
23.600,8.595,1.500,0.000,True,1,0,3.262
23.650,8.610,1.500,0.000,True,1,0,3.271
23.700,8.625,1.500,0.000,True,1,0,3.281
23.750,8.640,1.500,0.000,True,1,0,3.291
23.800,8.655,1.500,0.000,True,1,0,3.301
23.850,8.670,1.500,0.000,True,1,0,3.310
23.900,8.685,1.500,0.000,True,1,0,3.320
23.950,8.700,1.500,0.000,True,1,0,3.330
24.000,8.715,1.500,0.000,True,1,0,3.340
24.050,8.730,1.500,0.000,True,1,0,3.350
24.100,8.745,1.500,0.000,True,1,0,3.360
24.150,8.760,1.500,0.000,True,1,0,3.370
24.200,8.775,1.500,0.000,True,1,0,3.380
24.250,8.790,1.500,0.000,True,1,0,3.390
24.300,8.805,1.500,0.000,True,1,0,3.400
24.350,8.820,1.500,0.000,True,1,0,3.411
24.400,8.835,1.500,0.000,True,1,0,3.421
24.450,8.850,1.500,0.000,True,1,1,3.431
24.500,8.865,1.500,0.000,True,1,0,3.441
24.550,8.880,1.500,0.000,True,1,0,3.452
24.600,8.895,1.500,0.000,True,1,0,3.462
24.650,8.910,1.500,0.000,True,1,0,3.472
24.700,8.925,1.500,0.000,True,1,0,3.483
24.750,8.940,1.500,0.000,True,1,0,3.493
24.800,8.955,1.500,0.000,True,1,0,3.504
24.850,8.970,1.500,0.000,True,1,0,3.514
24.900,8.985,1.500,0.000,True,1,0,3.525
24.950,9.000,1.500,0.000,True,1,0,3.536
25.000,9.015,1.500,0.000,True,1,0,3.546
25.050,9.030,1.500,0.000,True,1,0,3.557
25.100,9.045,1.500,0.000,True,1,0,3.567
25.150,9.060,1.500,0.000,True,1,0,3.578
25.200,9.075,1.500,0.000,True,1,0,3.589
25.250,9.090,1.500,0.000,True,1,0,3.600
25.300,9.105,1.500,0.000,True,1,0,3.611
25.350,9.120,1.500,0.000,True,1,0,3.621
25.400,9.135,1.500,0.000,True,1,0,3.632
25.450,9.150,1.500,0.000,True,1,0,3.643
25.500,9.165,1.500,0.000,True,1,0,3.654
25.550,9.180,1.500,0.000,True,1,0,3.665
25.600,9.195,1.500,0.000,True,1,0,3.676
25.650,9.210,1.500,0.000,True,1,0,3.687
25.700,9.225,1.500,0.000,True,1,0,3.698
25.750,9.240,1.500,0.000,True,1,0,3.709
25.800,9.255,1.500,0.000,True,1,0,3.720
25.850,9.270,1.500,0.000,True,1,0,3.731
25.900,9.285,1.500,0.000,True,1,0,3.742
25.950,9.300,1.500,0.000,True,1,1,3.754
26.000,9.315,1.500,0.000,True,1,0,3.765
26.050,9.330,1.500,0.000,True,1,0,3.776
26.100,9.345,1.500,0.000,True,1,0,3.787
26.150,9.360,1.500,0.000,True,1,0,3.799
26.200,9.375,1.500,0.000,True,1,0,3.810
26.250,9.390,1.500,0.000,True,1,0,3.821
26.300,9.405,1.500,0.000,True,1,0,3.833
26.350,9.420,1.500,0.000,True,1,0,3.844
26.400,9.435,1.500,0.000,True,1,0,3.855
26.450,9.450,1.500,0.000,True,1,0,3.867
26.500,9.465,1.500,0.000,True,1,0,3.878
26.550,9.480,1.500,0.000,True,1,0,3.890
26.600,9.495,1.500,0.000,True,1,0,3.901
26.650,9.510,1.500,0.000,True,1,0,3.913
26.700,9.525,1.500,0.000,True,1,0,3.924
26.750,9.540,1.500,0.000,True,1,0,3.936
26.800,9.555,1.500,0.000,True,1,0,3.948
26.850,9.570,1.500,0.000,True,1,0,3.959
26.900,9.585,1.500,0.000,True,1,0,3.971
26.950,9.600,1.500,0.000,True,1,0,3.982
27.000,9.615,1.500,0.000,True,1,0,3.994
27.050,9.630,1.500,0.000,True,1,0,4.006
27.100,9.645,1.500,0.000,True,1,0,4.018
27.150,9.660,1.500,0.000,True,1,0,4.029
27.200,9.675,1.500,0.000,True,1,0,4.041
27.250,9.690,1.500,0.000,True,1,0,4.053
27.300,9.705,1.500,0.000,True,1,0,4.065
27.350,9.720,1.500,0.000,True,1,0,4.077
27.400,9.735,1.500,0.000,True,1,0,4.088
27.450,9.750,1.500,0.000,True,1,1,4.100
27.500,9.765,1.500,0.000,True,1,0,4.112
27.550,9.780,1.500,0.000,True,1,0,4.124
27.600,9.795,1.500,0.000,True,1,0,4.136
27.650,9.810,1.500,0.000,True,1,0,4.148
27.700,9.825,1.500,0.000,True,1,0,4.160
27.750,9.840,1.500,0.000,True,1,0,4.172
27.800,9.855,1.500,0.000,True,1,0,4.184
27.850,9.870,1.500,0.000,True,1,0,4.196
27.900,9.885,1.500,0.000,True,1,0,4.208
27.950,9.900,1.500,0.000,True,1,0,4.220
28.000,9.915,1.500,0.000,True,1,0,4.232
28.050,9.930,1.500,0.000,True,1,0,4.244
28.100,9.945,1.500,0.000,True,1,0,4.257
28.150,9.960,1.500,0.000,True,1,0,4.269
28.200,9.975,1.500,0.000,True,1,0,4.281
